dataset,target_family,target_key,target_column,target_label,unit,feature_set,model_key,model_display_name,feature_set_display_name,random_macro_publication_mae_mean,random_mae_mean,random_rmse_mean,random_r2_mean,grouped_macro_publication_mae_mean,grouped_mae_mean,grouped_rmse_mean,grouped_r2_mean,lopo_macro_publication_mae_mean,lopo_mae_mean,lopo_rmse_mean,lopo_r2_mean,grouped_minus_random_macro_mae,grouped_macro_mae_understatement_percent,lopo_minus_random_macro_mae,lopo_macro_mae_understatement_percent,random_minus_grouped_r2,random_minus_lopo_r2
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,elastic_net,Elastic Net,Core physics,12.483671104756688,11.66166122361281,15.582783911388086,0.15880008674187868,13.498960980720742,14.262282219820628,18.27409322889099,-0.15832090224508355,13.01615905429834,13.620745331336733,17.25372143314668,-0.031242729953156356,1.0152898759640543,7.52124461589373,0.5324879495416521,4.090976050003078,0.3171209889869622,0.19004281669503503
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_forest,Random Forest,Core physics,8.128985836387372,7.8124695157614115,11.870665836969208,0.5111845623798378,12.358355241456257,13.28809094404206,17.63844396559098,-0.07786226595680908,11.865601481509602,12.680496535319888,17.153325327839248,-0.019276437873259944,4.229369405068885,34.22275312884204,3.73661564512223,31.491160822694667,0.5890468283366469,0.5304610002530977
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,rbf_svr,RBF-SVR,Core physics,8.480539394884142,8.54823197957014,13.397261310586396,0.3781577253267047,11.672828399102093,13.066392899960647,17.91070648952453,-0.11143163062293841,11.633662007782428,12.965900545654314,17.913734360093724,-0.11164878000031031,3.192289004217951,27.348033356367264,3.1531226128982865,27.103440092973138,0.48958935594964315,0.48980650532701503
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,ridge,Ridge regression,Core physics,12.542889585361259,11.652548953993637,15.585863485587348,0.1584660264922282,14.186922104583465,14.916642439342786,19.672198500635208,-0.3482773281902457,13.47459742556859,13.822324391305038,17.72206520146621,-0.08798772636779595,1.6440325192222058,11.588366434260305,0.9317078402073307,6.914550474356864,0.5067433546824739,0.24645375286002416
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,elastic_net,Elastic Net,Full retrospective,11.893183699936667,10.650512721557476,14.810229310889962,0.24002145212940595,13.004566365745575,13.430486199088506,17.185061369929603,-0.0231241990969977,12.725792586846147,13.077344590495574,16.685206821294113,0.03559706225659631,1.1113826658089074,8.546095537151652,0.8326088869094797,6.54268786189471,0.26314565122640365,0.20442438987280964
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,random_forest,Random Forest,Full retrospective,7.811200051397547,7.608911425875471,11.746836398159497,0.5214830398743079,11.663333896647373,12.761468729704745,16.959041955782705,0.003252959696317692,11.18626790884037,12.266281348068288,16.413344569139397,0.06676824153644167,3.852133845249826,33.02772500028592,3.375067857442822,30.171527134403313,0.5182300801779902,0.4547147983378662
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,rbf_svr,RBF-SVR,Full retrospective,8.086587932319363,8.319710303581349,13.06847481014557,0.40826580239764,11.41674007350847,12.78716122159928,17.7022863287311,-0.0856201749139573,11.322738756181401,12.652837469368466,17.534647698168612,-0.06509764675213803,3.3301521411891066,29.169028284321097,3.2361508238620385,28.580989931392107,0.4938859773115973,0.473363449149778
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,ridge,Ridge regression,Full retrospective,12.1344029336275,10.79526899677858,15.023811926486687,0.2177036129119357,14.120829995834956,14.211214848680067,18.71103126992453,-0.21513393378739484,13.228377843239784,13.43993790014936,17.33796732119561,-0.041337950546483926,1.986427062207456,14.067353426061835,1.0939749096122835,8.269909754440128,0.43283754669933056,0.25904156345841967
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,prospective_design,elastic_net,Elastic Net,Prospective design,12.196484088860668,10.832959215270085,15.004868404782178,0.21974589696979682,13.154393487772401,13.576441193935906,17.35341276760614,-0.0437055742878472,12.67696326794634,12.98253024541203,16.62764340824556,0.04223990030467928,0.9579093989117329,7.282049148082369,0.4804791790856715,3.790175682693359,0.263451471257644,0.17750599666511754
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,prospective_design,random_forest,Random Forest,Prospective design,7.826749259547606,7.7108369559112875,11.772501272454992,0.5193648988064938,11.744980490843364,12.813602224629943,17.058871927968603,-0.008801125906941177,11.178611493236232,12.203542308259054,16.400106871317945,0.06827297546214295,3.918231231295758,33.36090029566669,3.3518622336886263,29.98460261112675,0.528166024713435,0.4510919233443509
